Entry	Entry name	Gene names  (ordered locus )	Gene names	Length	Absorption	Active site	Activity regulation	Binding site	Calcium binding	Catalytic activity	Cofactor	DNA binding	Metal binding	Nucleotide binding	Site	Motif
P00729	CBPY_YEAST	YMR297W	PRC1 YMR297W	532		ACT_SITE 257 257 {ECO:0000269|PubMed:7727362, ECO:0000269|Ref.5}.; ACT_SITE 449 449 {ECO:0000305|PubMed:7727362}.; ACT_SITE 508 508 {ECO:0000269|PubMed:2639680, ECO:0000305|PubMed:7727362}.	ACTIVITY REGULATION: Inhibited by ZPCK.	BINDING 452 452 Substrate. {ECO:0000305|Ref.5}.; BINDING 509 509 Substrate. {ECO:0000305|Ref.5}.		CATALYTIC ACTIVITY: Reaction=Release of a C-terminal amino acid with broad specificity.; EC=3.4.16.5; Evidence={ECO:0000269|PubMed:8679540};						MOTIF 24 27 Vacuolar targeting signal. {ECO:0000269|PubMed:3028649}.
Q08054	CSI2_YEAST	YOL007C	CSI2 YOL007C	341												
P38845	CRP1_YEAST	YHR146W	CRP1 YHR146W	465												
P39988	BUD16_YEAST	YEL029C	BUD16 YEL029C	312				BINDING 9 9 Substrate. {ECO:0000250}.; BINDING 44 44 Substrate. {ECO:0000250}.; BINDING 122 122 Substrate. {ECO:0000250}.; BINDING 224 224 Substrate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=ATP + pyridoxal = ADP + H(+) + pyridoxal 5'-phosphate; Xref=Rhea:RHEA:10224, ChEBI:CHEBI:15378, ChEBI:CHEBI:17310, ChEBI:CHEBI:30616, ChEBI:CHEBI:456216, ChEBI:CHEBI:597326; EC=2.7.1.35;	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000250}; 			NP_BIND 183 184 ATP. {ECO:0000250}.; NP_BIND 211 223 ATP. {ECO:0000250}.		
Q12289	CRC1_YEAST	YOR100C	CRC1 YOR100C YOR3193C	327												
P32873	BEM3_YEAST	YPL115C	BEM3 YPL115C LPH12C	1128												
P53730	ALG12_YEAST	YNR030W	ALG12 ECM39 YNR030W N3265	551						CATALYTIC ACTIVITY: Reaction=alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-mannosyl phosphate = alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+); Xref=Rhea:RHEA:29535, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, Rhea:RHEA-COMP:12629, Rhea:RHEA-COMP:12630, ChEBI:CHEBI:15378, ChEBI:CHEBI:57683, ChEBI:CHEBI:58211, ChEBI:CHEBI:132517, ChEBI:CHEBI:132519; EC=2.4.1.260; Evidence={ECO:0000269|PubMed:15987956};						
Q12291	BMT6_YEAST	YLR063W	BMT6 YLR063W L2174	365						CATALYTIC ACTIVITY: Reaction=S-adenosyl-L-methionine + uridine(2843) in 25S rRNA = H(+) + N(3)-methyluridine(2843) in 25S rRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43184, Rhea:RHEA-COMP:10393, Rhea:RHEA-COMP:10394, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:65315, ChEBI:CHEBI:74502; EC=2.1.1.312; Evidence={ECO:0000269|PubMed:24335083};						
Q05123	ARP9_YEAST	YMR033W	ARP9 SWP59 YMR033W YM9973.07	467												
P32623	CRH2_YEAST	YEL040W	UTR2 CRH2 YEL040W SYGP-ORF18	467		ACT_SITE 166 166 Nucleophile. {ECO:0000250}.; ACT_SITE 170 170 Proton donor. {ECO:0000250}.										
