Q0045	COX1	Cytochrome c OXidase	10000.0	hr	0.74	0.14	0.63	27.72	0.74	534	111.72	0.15	58795.3
Q0140	VAR1	""	10.8	hr	-0.79	0.09	-0.17	41.68	0.3	398	81.18	0.09	47155.2
Q0250	COX2	Cytochrome c OXidase	10.1	hr	0.35	0.19	0.44	36.99	0.61	251	107.88	0.12	28550.2
R0020C	REP1	REPlication	6.4	hr	-0.46	0.1	-0.07	39.72	0.41	373	76.05	0.11	43224.5
R0040C	REP2	REPlication	3.3	hr	-0.52	0.11	0.04	55.44	0.45	296	82.06	0.04	33201.5
YAL001C	TFC3	Transcription Factor class C	6.9	hr	-0.51	0.12	-0.03	31.78	0.42	1160	83.17	0.08	132146.8
YAL003W	EFB1	Elongation Factor Beta	9.7	hr	-0.42	0.76	0.78	41.79	0.88	206	72.18	0.08	22603.0
YAL005C	SSA1	Stress-Seventy subfamily A	20.2	hr	-0.44	0.71	0.8	31.9	0.89	642	78.82	0.06	69636.8
YAL007C	ERP2	Emp24p/Erv25p Related Protein	10.5	hr	0.15	0.23	0.25	33.28	0.59	215	104.56	0.1	24058.8
YAL009W	SPO7	SPOrulation	14.4	hr	-0.32	0.11	0.02	51.52	0.45	259	79.54	0.12	30130.0
YAL010C	MDM10	Mitochondrial Distribution and Morphology	6.0	hr	-0.47	0.12	-0.04	35.65	0.4	493	74.95	0.11	56236.5
YAL011W	SWC3	SWr Complex	11.0	hr	-1.11	0.15	0.09	60.26	0.49	625	60.54	0.05	72531.5
YAL012W	CYS3	CYStathionine gamma-lyase	12.3	hr	-0.14	0.42	0.62	30.26	0.78	394	93.53	0.07	42535.4
YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	9.0	hr	-1.0	0.1	0.07	58.69	0.48	405	66.89	0.06	46938.1
YAL014C	SYN8	SYNtaxin	5.0	hr	-0.51	0.1	0.03	46.66	0.43	255	101.37	0.04	29034.0
YAL015C	NTG1	eNdonuclease Three-like Glycosylase	7.8	hr	-0.35	0.12	0.08	49.0	0.47	399	90.93	0.07	45579.4
